Oracion original,label original,Puntaje Positivo,Puntaje Negativo,El resultado de la inferencia,Tiempo de fuzzificacion,Tiempo de desfuzzificacion,tiempo de ejecucion
the day i never have to deal with comcast again will rank as one of the best days of my life,Neutral,0.181,0.0,0.23175362167003546,0.0,0.00199795,0.00199795
did comcast fail again,Negativa,0.0,0.538,-0.5187498267498268,0.0,0.0010016,0.0010016
curses the twitter api limit,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
now i can see why dave winer screams about lack of twitter api its limitations and access throttles,Neutral,0.0,0.231,4.919662215717122e-17,0.0,0.00199938,0.00199938
arg twitter api is making me crazy,Neutral,0.0,0.286,5.2356738522125445e-17,0.0,0.0,0.0
i m really loving the new search site wolfram alpha makes google seem so quaint,Neutral,0.259,0.0,0.3193106736192823,0.0,0.00051165,0.00051165
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,Neutral,0.0,0.227,4.87425094062306e-17,0.0,0.00301218,0.00301218
off to the nike factory,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
new nike muppet commercials are pretty cute why do we live together again,Neutral,0.36,0.0,0.44356728911783627,0.0,0.00109577,0.00109577
oh those are awesome i so wish they weren t owned by nike,Positiva,0.458,0.0,0.5923399567640582,0.0,0.0,0.0
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait,Neutral,0.227,0.0,0.2835880023077858,0.0,0.00199771,0.00199771
arhh it s weka bug and i spent almost two hours to find that out crappy me,Neutral,0.0,0.205,2.983304547378473e-17,0.0,0.0,0.0
hey bud np i do so love my d although i d love a d mkii more,Positiva,0.587,0.0,0.6580704145371946,0.0,0.0,0.0
just got us a d for the office d,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
just picked up my new canon d it s beautiful prepare for some seriously awesome photography,Neutral,0.386,0.082,0.48012477713622514,0.0,0.00100279,0.00100279
just got my new toy canon d love love love it,Positiva,0.643,0.0,0.6454650077760495,0.0,0.0009973,0.0009973
learning about lambda calculus,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
i m moving to east palo alto,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,Neutral,0.187,0.0,0.2386794337626474,0.0,0.00262451,0.00262451
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,Neutral,0.225,0.0,0.28136704119850164,0.0,0.00099969,0.00099969
lakers tonight let s go,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
will the lakers kick the nuggets ass tonight,Neutral,0.0,0.333,7.577643983834777e-17,0.0,0.0,0.0
oooooooh north korea is in troubleeeee,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,Neutral,0.157,0.0,0.2040475181018835,0.0,0.0019927,0.0019927
listening to obama friggin north korea,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
i just realized we three monkeys in the white obama biden pelosi sarah palin,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
pelosi should stay in china and never come back,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this,Neutral,0.125,0.319,0.2312914430840076,0.0,0.00210214,0.00210214
ugh the amount of times these stupid insects have bitten me grr,Neutral,0.0,0.383,8.524370925047273e-17,0.0,0.0,0.0
prettiest insects ever pink katydids,Positiva,0.481,0.0,0.6312068009831661,0.0,0.00100327,0.00100327
just got barraged by a horde of insects hungry for my kitchen light so scary,Neutral,0.0,0.24,4.577241604145316e-17,0.0,0.00200939,0.00200939
just had mcdonalds for dinner d it was goooood big mac meal,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
ahh yes lol ima tell my hubby to go get me sum mcdonalds,Neutral,0.333,0.0,0.4077781908302351,0.0,0.0,0.0
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy,Neutral,0.0,0.192,2.9110650628755255e-17,0.0,0.00164318,0.00164318
could go for a lot of mcdonalds i mean a lot,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
my exam went good your prayers worked,Neutral,0.326,0.0,0.398754866293339,0.0,0.0,0.0
only one exam left and i am so happy for it d,Neutral,0.345,0.0,0.4234977158097649,0.0,0.00198817,0.00198817
math review im going to fail the exam,Neutral,0.0,0.333,7.577643983834777e-17,0.0,0.0,0.0
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,Neutral,0.198,0.134,0.2512611494866843,0.0,0.00109124,0.00109124
obviously not siding with cheney here,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
absolutely hilarious from,Positiva,0.599,0.0,0.6557584863661655,0.0,0.00197268,0.00197268
i never did thank you for including me in your top twitter authors you rock amp i new wave d,Neutral,0.095,0.112,0.13062092834344688,0.0,0.00102425,0.00102425
rt awesome jquery reference book for coda webdesign,Neutral,0.369,0.0,0.4559005539684265,0.0,0.0,0.0
i ve been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them,Neutral,0.238,0.085,0.29581396942246835,0.0,0.00100303,0.00100303
goodby silverstein s new site i enjoy it,Neutral,0.39,0.0,0.48602137965592096,0.0,0.00100732,0.00100732
wow everyone at the google i o conference got free g s with a month of unlimited service,Neutral,0.392,0.0,0.4890002233359238,0.0,0.00123906,0.00123906
dood i got a free google android phone at the i o conference the g,Neutral,0.268,0.0,0.3294953980635176,0.0,0.00200915,0.00200915
the g is amazing btw a huge improvement over the g,Positiva,0.645,0.0,0.6449354005167957,0.0,0.00100136,0.00100136
html demos lots of great stuff to come yes i m excited io googleio,Positiva,0.505,0.0,0.6666336633663362,0.0,0.00099993,0.00099993
yay happy place place place i love google,Positiva,0.739,0.0,0.6151366711772664,0.0,0.00199699,0.00199699
googleio o d bringing d graphics to the browser very nice tbh funfun,Neutral,0.256,0.0,0.31593413907864754,0.0,0.00100255,0.00100255
awesome viral marketing for funny people,Positiva,0.636,0.0,0.6472788259958069,0.0,0.00199795,0.00199795
saw night at the museum out of sheer desperation who is funding these movies,Neutral,0.0,0.188,2.890451528217417e-17,0.0,0.00151944,0.00151944
night at the museum pretty furkin good,Positiva,0.55,0.0,0.6636363636363632,0.0,0.00100207,0.00100207
watching night at the museum giggling,Neutral,0.333,0.0,0.4077781908302351,0.00100255,0.0,0.00100255
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh,Neutral,0.107,0.0,0.1439165472999642,0.0,0.00099897,0.00099897
just watched night at the museum so stinkin cute,Neutral,0.291,0.0,0.3560264083126781,0.0,0.0,0.0
so night at the museum was awesome much better than part next weekend we ll see up,Neutral,0.318,0.0,0.38865794885055316,0.0,0.00148463,0.00148463
saw the new night at the museum and i loved it next is to go see up in d,Neutral,0.196,0.0,0.24898321214626734,0.0,0.00100136,0.00100136
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think,Neutral,0.0,0.217,4.767594947717962e-17,0.0,0.0019989,0.0019989
as u may have noticed not too happy about the gm situation nor aig lehman et al,Neutral,0.0,0.167,5.917501400794019e-17,0.0,0.00151038,0.00151038
gm good riddance sad though,Neutral,0.322,0.344,0.2077272480444759,0.0,0.00100732,0.00100732
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
having the old coca cola guy on the gm board is stupid has heck tcot ala,Neutral,0.0,0.185,4.483362106066038e-17,0.0,0.0019989,0.0019989
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw,Neutral,0.17,0.211,0.23011963021599846,0.0,0.00100064,0.00100064
give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good,Neutral,0.112,0.0,0.15018295498951997,0.0,0.00099921,0.00099921
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the,Neutral,0.077,0.336,0.17091659515344676,0.00109482,0.00100636,0.00210118
i own a gm car and it is junk as far as quality compared to a honda,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
sad day bankrupt gm,Negativa,0.0,0.77,-0.6183561643835616,0.0,0.00099754,0.00099754
is upset about the whole gm thing life as i know it is so screwed up,Neutral,0.0,0.341,6.910232439196966e-17,0.0,0.00160551,0.00160551
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,Neutral,0.0,0.281,5.1488916834029606e-17,0.0,0.00200725,0.00200725
wftb joining a bit late my connection was down boo time warner,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
i am furious with time warner and their phone promotions,Neutral,0.0,0.316,5.287757824746368e-17,0.0,0.00100088,0.00100088
just got home from chick fil a with the boys damn my internets down stupid time warner,Neutral,0.0,0.303,6.663676392685044e-17,0.0,0.00199795,0.00199795
could time warner cable suck more no,Negativa,0.0,0.519,-0.5094386680258238,0.0,0.00100183,0.00100183
pissed at time warner for causin me to have slow internet problems,Neutral,0.0,0.408,1.209975992788521e-16,0.0,0.00099945,0.00099945
ummm having some time warner problems,Neutral,0.0,0.351,6.603310733823917e-17,0.0,0.0,0.0
you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment,Neutral,0.104,0.233,0.16417236782716346,0.0,0.00251269,0.00251269
rt the upside to time warner unhelpful phone operators superslow on site service crap that s not an upside,Neutral,0.0,0.133,3.4175097642329406e-17,0.0,0.00100088,0.00100088
rt new time warner slogan time warner where we make you long for the days before cable,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
confirmed it s time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon,Neutral,0.0,0.119,3.366386012655746e-17,0.0,0.0010066,0.0010066
time warner epic fail,Negativa,0.0,0.538,-0.5187498267498268,0.00099969,0.0,0.00099969
i know how sad is that rt st day of hurricane season that s less scarey than govt taking over gm,Neutral,0.0,0.245,4.1791030969270624e-17,0.0,0.00099945,0.00099945
gm files bankruptcy not a good sign,Neutral,0.0,0.325,7.902128526642979e-17,0.0,0.00100017,0.00100017
yankees won mets lost its a good day,Neutral,0.512,0.178,0.39367904256765923,0.0,0.0019989,0.0019989
my dentist appt today was actually quite enjoyable,Neutral,0.313,0.0,0.38245423575113624,0.0,0.0,0.0
i hate the effing dentist,Negativa,0.0,0.552,-0.5255246132208157,0.0,0.0,0.0
i hate going to the dentist,Neutral,0.0,0.481,6.259024666723583e-16,0.0,0.00200057,0.00200057
i hate the dentist who invented them anyways,Neutral,0.0,0.381,8.813794213384133e-17,0.0,0.00050616,0.00050616
this dentist s office is cold,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
just applied at safeway yeeeee,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
safeway place is a nightmare right now bumming,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt,Neutral,0.102,0.316,0.19718536890990215,0.0,0.00100613,0.00100613
nike rocks i m super grateful for what i ve done with them amp the european division of nike is beyond,Neutral,0.301,0.0,0.36786490289554424,0.0,0.00100088,0.00100088
have you tried nike v addictive,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
the nike training club beta iphone app looks very interesting,Neutral,0.25,0.0,0.30920398009950223,0.0,0.00099969,0.00099969
argghhhh why won t my jquery appear in safari bad safari,Neutral,0.243,0.23,0.3013838734913494,0.0,0.0010004,0.0010004
i m ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js,Neutral,0.253,0.177,0.3125654970515825,0.0,0.00099969,0.00099969
super investors a great weekend read here from warren buffet oldie but a goodie,Neutral,0.333,0.0,0.4077781908302351,0.0,0.0,0.0
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio,Neutral,0.306,0.0,0.3738952099090209,0.0,0.0,0.0
i mean i m down with notre dame if i have to it s a good school i d be closer to dan i d enjoy it,Neutral,0.289,0.0,0.35368416285594323,0.0,0.00251198,0.00251198
i can t watch tv without a tivo and after all these years the time warner dvr still sucks,Neutral,0.0,0.143,3.4586000968792063e-17,0.0,0.00201678,0.00201678
i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis,Neutral,0.259,0.0,0.3193106736192823,0.0,0.0,0.0
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads,Neutral,0.178,0.111,0.22827097577158745,0.0,0.00199938,0.00199938
i love my kindle no more stacks of books to trip over on the way to the loo,Neutral,0.196,0.103,0.24898321214626734,0.0,0.00099945,0.00099945
although today s keynote rocked for every great announcement at amp t shit on us just a little bit more,Neutral,0.181,0.159,0.23175362167003546,0.0,0.00100136,0.00100136
its not so much my obsession with cell phones but the iphone i m a slave to at amp t forever because of it,Neutral,0.0,0.088,2.5611450830569226e-17,0.00100112,0.00099826,0.00199938
fuzzball is more fun than at amp t p,Neutral,0.375,0.0,0.4643039918116681,0.0,0.00150967,0.00150967
today is a good day to dislike at amp t vote out of office indeed,Neutral,0.176,0.158,0.22594125615356642,0.0,0.00101066,0.00101066
got my wave sandbox invite extra excited too bad i have class now but i ll play with it soon enough io wave,Neutral,0.241,0.089,0.29915457425182707,0.00109768,0.00100541,0.00210309
looks like summize has gone down too many tweets from wwdc perhaps,Neutral,0.185,0.0,0.2363763556374052,0.0,0.00190735,0.00190735
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen,Positiva,0.658,0.0,0.6413738601823706,0.0,0.00107932,0.00107932
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please,Neutral,0.215,0.099,0.27025835713927715,0.0,0.00100851,0.00100851
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky,Neutral,0.301,0.0,0.36786490289554424,0.0,0.0,0.0
the kindle seems the best ereader but will it work in the uk and where can i get one,Neutral,0.133,0.0,0.175858781819379,0.00100017,0.0,0.00100017
i have a google addiction thank you for pointing that out hahaha,Positiva,0.433,0.0,0.5512699392453362,0.0,0.00262165,0.00262165
dearest you rich bastards the visa card you sent me doesn t work why screw a little guy like me,Neutral,0.339,0.194,0.3738952099090209,0.0,0.00110793,0.00110793
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest,Neutral,0.302,0.0,0.36906569709330295,0.0,0.00100136,0.00100136
gonna go see bobby flay moro at shoreline eat and drink gonna be good,Neutral,0.182,0.0,0.23291146327147932,0.00099993,0.00089383,0.00189376
can t wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please,Positiva,0.42,0.0,0.5308141962421709,0.0,0.00109506,0.00109506
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today,Neutral,0.115,0.083,0.15391205814885422,0.0,0.0009973,0.0009973
fighting with latex again,Neutral,0.0,0.455,2.591657362936457e-16,0.0,0.00160193,0.00160193
we love you too and don t want you to die latex the devil,Neutral,0.241,0.364,0.21281779485354413,0.0,0.0010798,0.0010798
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i can t take any more,Neutral,0.071,0.08,0.1000589657409044,0.0,0.00193262,0.00193262
shit s hitting the fan in iran craziness indeed iranelection,Neutral,0.159,0.428,0.1654752219895105,0.0,0.00199533,0.00199533
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop,Neutral,0.383,0.148,0.43285590441884003,0.0,0.00099897,0.00099897
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby,Neutral,0.358,0.0,0.4408681569821858,0.0,0.00100064,0.00100064
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here,Neutral,0.379,0.0,0.4699926555262402,0.0,0.00199866,0.00199866
i just created my first latex file from scratch that didn t work out very well see it s a great time waster,Neutral,0.347,0.0,0.4261711178937313,0.0,0.00100088,0.00100088
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor,Neutral,0.307,0.0,0.37510936395328964,0.0,0.0,0.0
after using latex a lot any other typeset mathematics just looks hideous,Neutral,0.0,0.0,2.4818110529641523e-17,0.00050545,0.0,0.00050545
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now,Negativa,0.0,0.52,-0.5099319727891155,0.0,0.00101089,0.00101089
ahhh back in a real text editing environment i lt latex,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect,Neutral,0.0,0.213,3.032056546862586e-17,0.0,0.00201368,0.00201368
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad,Neutral,0.0,0.353,6.677458491742937e-17,0.0,0.00109816,0.00109816
